#rank	DiaBLE_node	p_hyper
580	54665	3.6863833473737e-65
581	7343	1.3790889577364219e-64
582	140890	8.21558093141636e-64
583	3010	4.385088131803286e-64
584	8683	9.294891038016148e-64
585	4116	9.973901440063868e-64
586	6429	1.6576831039872218e-63
587	79080	9.127465383878647e-65
588	26576	5.918271943419497e-66
589	4332	4.4128627510925135e-64
590	10813	3.9639638887552436e-64
591	55771	6.587146757686955e-64
592	5813	1.2785023561182055e-64
593	9277	8.308090408526208e-64
594	92856	8.88466765137769e-65
595	51187	3.168661498072996e-64
596	25983	3.856745667589497e-64
597	10523	3.1512935282214256e-63
598	55506	5.28954653308815e-63
599	84298	3.92082143448972e-64
600	90957	5.558856341151647e-63
601	29942	9.207151592141435e-64
602	6732	1.0353702316751981e-63
603	23350	1.3720824122557568e-63
604	6627	3.987742173133974e-63
605	28960	5.147574835643956e-63
606	10607	1.2143872582717271e-63
607	22826	4.219725686824972e-63
608	55660	2.2998698153865667e-62
609	11056	1.026532043535145e-61
610	7570	2.8472129858507324e-62
611	388524	1.2629126708495872e-61
612	1975	1.1705758703029851e-62
613	8602	2.906816468855999e-62
614	64425	1.7449403790892505e-62
615	22827	2.0652148777714106e-61
616	26168	3.2281391330365305e-61
617	54881	8.411232186618326e-62
618	9097	4.6493164711776735e-61
619	5036	7.6849073228331465e-62
620	9040	2.0879556393538266e-61
